=== Run information ===

Evaluator:    weka.attributeSelection.GainRatioAttributeEval 
Search:       weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1
Relation:     x_train_gr_smpl-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.instance.Randomize-S42
Instances:    9690
Attributes:   2305
              [list of attributes omitted]
Evaluation mode:    evaluate on all training data



=== Attribute Selection on all input data ===

Search Method:
	Attribute ranking.

Attribute Evaluator (supervised, Class (nominal): 2305 LABEL):
	Gain Ratio feature evaluator

Ranked attributes:
 0.0712     1145 X1144
 0.0712     1989 X1988
 0.0712     2227 X2226
 0.0712     1688 X1687
 0.0712     2072 X2071
 0.0712      875 X874
 0.0711     1252 X1251
 0.0711      461 X460
 0.0711      414 X413
 0.0711     2075 X2074
 0.0711     1838 X1837
 0.0711      413 X412
 0.0711     2232 X2231
 0.071      1353 X1352
 0.071      2051 X2050
 0.071       591 X590
 0.071      1639 X1638
 0.0709     1945 X1944
 0.0709     1255 X1254
 0.0709     2226 X2225
 0.0709     2275 X2274
 0.0709      421 X420
 0.0709     1894 X1893
 0.0709      516 X515
 0.0709     2026 X2025
 0.0708     2294 X2293
 0.0708     2271 X2270
 0.0708      638 X637
 0.0708      966 X965
 0.0708      892 X891
 0.0708     1954 X1953
 0.0708     1290 X1289
 0.0708      953 X952
 0.0708     1448 X1447
 0.0707     2100 X2099
 0.0707     1595 X1594
 0.0707      837 X836
 0.0707     1781 X1780
 0.0707      489 X488
 0.0707     1944 X1943
 0.0707      537 X536
 0.0707     2198 X2197
 0.0707     2150 X2149
 0.0707     1590 X1589
 0.0706      873 X872
 0.0706     2097 X2096
 0.0706     2118 X2117
 0.0706     2003 X2002
 0.0706     2054 X2053
 0.0706      919 X918
 0.0706     1813 X1812
 0.0706      897 X896
 0.0706      661 X660
 0.0705     1337 X1336
 0.0705     1623 X1622
 0.0705     1888 X1887
 0.0705     2027 X2026
 0.0705     1113 X1112
 0.0705      488 X487
 0.0705     1015 X1014
 0.0704     1859 X1858
 0.0704      274 X273
 0.0703     1138 X1137
 0.0703     1449 X1448
 0.0703     1987 X1986
 0.0703     2120 X2119
 0.0703      612 X611
 0.0703     1242 X1241
