=== Run information ===

Evaluator:    weka.attributeSelection.CorrelationAttributeEval 
Search:       weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1
Relation:     x_train_gr_smpl-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.instance.Randomize-S42
Instances:    9690
Attributes:   2305
              [list of attributes omitted]
Evaluation mode:    evaluate on all training data



=== Attribute Selection on all input data ===

Search Method:
	Attribute ranking.

Attribute Evaluator (supervised, Class (nominal): 2305 LABEL):
	Correlation Ranking Filter
Ranked attributes:
 0.11513     2138 X2137
 0.11511      896 X895
 0.11508     1526 X1525
 0.1149      1788 X1787
 0.11485     1663 X1662
 0.11479      738 X737
 0.11454     1909 X1908
 0.11438     1552 X1551
 0.1143      2184 X2183
 0.11426     2092 X2091
 0.1142      2229 X2228
 0.11395     1983 X1982
 0.11373     2086 X2085
 0.11368     1937 X1936
 0.11367      975 X974
 0.11347     1474 X1473
 0.11341     1044 X1043
 0.1134      1522 X1521
 0.11339     1859 X1858
 0.11338     1221 X1220
 0.11326     2139 X2138
 0.11323     1430 X1429
 0.11313     1863 X1862
 0.11302      982 X981
 0.11294      553 X552
 0.11293     1765 X1764
 0.11276     1374 X1373
 0.11273     2243 X2242
 0.11272     1817 X1816
 0.1126      2230 X2229
 0.11256      848 X847
 0.11251     1907 X1906
 0.11245     2240 X2239
 0.11243     2181 X2180
 0.11238     1325 X1324
 0.11235     1571 X1570
 0.11225     2093 X2092
 0.11216     1711 X1710
 0.11213     2193 X2192
 0.11208      644 X643
 0.11207     2231 X2230
 0.11198     1261 X1260
 0.11179     1985 X1984
 0.1117      1213 X1212
 0.11169     1309 X1308
 0.11167      935 X934
 0.11163     1575 X1574
 0.11155     2277 X2276
 0.11152     1888 X1887
 0.11127     2292 X2291
 0.11126     1370 X1369
 0.11123     1022 X1021
 0.11107     2288 X2287
 0.11106     2194 X2193
 0.11079     1141 X1140
 0.11076     2140 X2139
 0.11065     1614 X1613
 0.11059     2133 X2132
 0.11058      945 X944
 0.11057     1932 X1931
 0.11056     1835 X1834
 0.11055     1570 X1569
 0.11052     1806 X1805
 0.11052     1036 X1035
 0.11051     1850 X1849
 0.11026     1718 X1717
 0.11019     2192 X2191
 0.11015     1574 X1573
 0.11009      603 X602
 0.11006     1357 X1356
 0.10991     2232 X2231
 0.10987     1849 X1848
 0.10954     1787 X1786
 0.10935     1982 X1981
 0.1093      1838 X1837
 0.10905     2180 X2179
 0.10895     1505 X1504
 0.10895     1883 X1882
 0.10887      597 X596
 0.10884     1848 X1847
 0.10881     1740 X1739
 0.10867     1789 X1788
 0.10866     1276 X1275
 0.1086      2094 X2093
 0.10859     2185 X2184
 0.10857     1851 X1850
 0.10854     2141 X2140
 0.10849     1222 X1221
 0.10849     1165 X1164
 0.10838     2226 X2225
 0.10834     1458 X1457
 0.10822      995 X994
 0.10805     2239 X2238
 0.10802      653 X652
 0.10791      785 X784
 0.10775     2278 X2277
 0.10773     2273 X2272
 0.10754     1466 X1465
 0.10746     1858 X1857
 0.10719     1906 X1905
 0.10712     1770 X1769
 0.10707     1030 X1029
 0.10702     1405 X1404
 0.10702     1382 X1381
 0.10694     1572 X1571
 0.10691     2244 X2243
 0.1069      1625 X1624
 0.1069      1955 X1954
 0.10686     1180 X1179
 0.10683     1910 X1909
 0.10676     2191 X2190
 0.10675     1033 X1032
 0.1067      2142 X2141
 0.10669      994 X993
 0.10664      987 X986
 0.10663     2085 X2084
 0.10663      752 X751
 0.10661      833 X832
 0.10658     1811 X1810
 0.10649      928 X927
 0.10643     1670 X1669
 0.10643     2233 X2232
 0.10641     1759 X1758
 0.10625     1748 X1747
 0.10617     1573 X1572
 0.10615     1938 X1937
 0.10605     2186 X2185
 0.106       1615 X1614
 0.10597     1889 X1888
 0.10593     2195 X2194
 0.10585     1847 X1846
 0.1057      1622 X1621
 0.10569     2279 X2278
 0.10556     1956 X1955
 0.10526     1722 X1721
 0.10523     2143 X2142
 0.10518     2280 X2279
 0.10518     1797 X1796
 0.10515     2144 X2143
 0.10492     1864 X1863
 0.10478     1852 X1851
 0.10471     2234 X2233
 0.1045      1986 X1985
 0.10443     2145 X2144
 0.10437     2293 X2292
 0.10426     1117 X1116
 0.10421     2187 X2186
 0.1042      1739 X1738
 0.10419     1931 X1930
 0.1041      2040 X2039
 0.10394     2041 X2040
 0.10394     2281 X2280
 0.10393     2179 X2178
 0.10392     1699 X1698
 0.1039      1128 X1127
 0.1038      1553 X1552
 0.10372     2287 X2286
 0.10368     1616 X1615
 0.10367     2095 X2094
 0.1036      1576 X1575
 0.10356     2190 X2189
 0.10344      881 X880
 0.10331     1981 X1980
 0.10324      550 X549
 0.10322     1598 X1597
 0.10312     1459 X1458
 0.10301     1453 X1452
 0.103       1954 X1953
 0.10289     2032 X2031
 0.10287      849 X848
 0.10286     1564 X1563
 0.10276     1741 X1740
 0.10276     1664 X1663
 0.10267     1818 X1817
 0.10265      984 X983
 0.10249      801 X800
 0.10249     2282 X2281
 0.10247     1081 X1080
 0.10241     2042 X2041
 0.10237     1807 X1806
 0.10236     2188 X2187
 0.10235     2033 X2032
 0.10228     2132 X2131
 0.10227     2238 X2237
 0.102       1602 X1601
 0.10196     2146 X2145
 0.10172      996 X995
 0.10149      897 X896
 0.10146     2189 X2188
 0.10115     1857 X1856
 0.10104     1093 X1092
 0.10101     2039 X2038
 0.10101     2235 X2234
 0.101        703 X702
 0.10096      947 X946
 0.10087     1839 X1838
 0.10064     1865 X1864
 0.10064      974 X973
 0.10056     2196 X2195
 0.10053     1905 X1904
 0.10042     2245 X2244
 0.1004      1846 X1845
 0.10027     1617 X1616
 0.10021     1853 X1852
 0.10017     1508 X1507
 0.10012     1527 X1526
 0.10012     1890 X1889
 0.1         1418 X1417
 0.09989     1334 X1333
 0.09981      927 X926
 0.09976     1555 X1554
 0.09975     1425 X1424
 0.09975     1692 X1691
 0.0997      2043 X2042
 0.09962      946 X945
 0.09955     2031 X2030
 0.09943     1764 X1763
 0.09923     1693 X1692
 0.09911     1501 X1500
 0.0991      2096 X2095
 0.09901     1599 X1598
 0.09885     1069 X1068
 0.0988      2002 X2001
 0.09862     1957 X1956
 0.09854     1980 X1979
 0.09849     2034 X2033
 0.09846     2294 X2293
 0.09823      504 X503
 0.09821      898 X897
 0.09807     1674 X1673
 0.09803     1569 X1568
 0.09798     2147 X2146
 0.09789     2237 X2236
 0.09774     1810 X1809
 0.09768     2236 X2235
 0.09758     2225 X2224
 0.09755     2044 X2043
 0.09749      880 X879
 0.09749     2003 X2002
 0.0974      1979 X1978
